Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
58,32,73,94523,2,0.7,2,0,0,0,0,1,1
65,39,141,90280,2,6.9,1,0,0,1,0,1,0
30,4,18,93711,4,0.3,2,84,0,0,0,1,0
50,24,31,95054,1,0.3,3,0,0,0,0,0,0
49,23,70,92093,2,1.5,2,0,0,0,0,0,0
50,24,80,95616,4,4.9,1,0,0,0,0,1,0
46,22,102,95039,3,4.5,3,0,1,0,0,1,0
28,3,95,90245,2,1.8,2,0,0,0,0,0,0
60,35,39,91711,2,1.6,3,0,0,0,0,1,0
26,1,88,94025,2,1.8,2,0,0,0,0,0,0
31,5,85,95828,2,1.3,1,119,0,0,0,1,1
30,6,83,93101,4,3.4,1,0,0,1,0,1,0
60,35,122,92521,1,1.3,1,0,0,0,0,0,0
29,3,50,94010,3,1.1,2,0,0,0,0,0,1
63,38,110,90095,3,1.8,2,109,0,0,0,1,0
37,13,70,92101,2,2.7,1,0,0,0,0,0,0
41,16,49,92122,3,0.5,3,0,0,0,0,1,0
37,7,73,94043,4,1.8,3,0,0,0,0,1,1
62,38,65,91768,1,0,2,0,0,0,0,1,0
63,39,41,95449,2,1.1,1,0,0,0,0,0,0
48,23,45,95053,1,1.3,2,0,0,0,0,1,0
52,27,30,94305,2,0.7,2,0,0,0,0,1,1
55,30,28,95123,1,1.5,2,0,0,0,0,0,0
52,28,20,95616,1,0.3,1,0,0,0,0,0,0
49,25,24,95818,4,0.2,1,138,0,0,0,1,0
55,29,64,93437,3,0.8,1,119,0,0,0,0,1
31,7,173,91040,1,6,1,0,0,0,0,1,0
38,13,168,92647,2,1.3,3,0,1,0,0,0,0
52,27,94,93106,1,2.8,2,333,0,0,0,1,0
26,1,54,94061,4,0.6,2,230,0,0,0,0,0
56,31,68,94571,2,0,3,0,0,1,0,1,0
36,10,82,94542,2,2.8,1,0,0,0,0,0,1
41,16,33,94309,4,0,2,0,0,0,0,1,0
50,24,30,91768,4,0.1,1,161,0,0,0,1,1
40,15,173,95060,4,6.6,1,0,1,0,1,1,1
52,26,35,91711,3,0.9,3,0,0,0,0,0,0
33,7,80,91103,2,1.5,3,0,0,0,0,1,1
64,38,84,94571,1,2,1,0,0,0,0,0,0
25,1,113,95023,2,0.2,1,0,0,0,0,1,1
32,7,101,90232,4,2.2,2,0,0,0,0,1,0
62,37,53,92028,2,2.8,1,0,0,0,0,1,0
41,16,82,92507,1,4,3,0,0,0,0,1,0
45,18,53,92104,3,2.5,2,112,0,0,0,0,0
42,18,51,92868,3,2.1,3,0,0,0,0,0,0
54,24,49,91801,1,1.4,3,0,0,0,0,1,0
46,20,15,95370,4,0.6,3,0,0,1,0,1,0
64,38,22,92697,2,0.2,3,0,0,1,0,0,0
38,12,29,92084,2,1.4,3,0,0,0,0,1,0
41,17,93,92835,4,0.8,1,218,0,0,0,0,0
55,31,91,94110,2,2.8,1,0,0,0,0,1,0
45,18,42,95126,3,2.5,2,0,0,0,0,0,0
40,15,54,90266,3,0.8,3,0,0,0,0,1,0
32,8,183,94080,1,6,1,0,0,0,0,0,0
33,7,88,94583,3,1.6,1,0,0,0,0,1,1
48,22,59,91775,1,1.4,3,241,0,0,0,1,0
40,14,28,90404,2,0.8,3,0,0,0,0,0,0
53,27,35,94583,3,0.9,3,136,0,0,0,1,0
